"COUNT";"SPECIES";"YEAR";"RawCOUNT";"SCHEME";"NSITE";"NSITE_OBS";"COL_INDEX";"predicted2";"conf.low";"conf.high"
7;"Carcharodus baeticus";2018;7;"CBMS";66;4;0.435945301627087;0.1069;-2.43395575557381;2.8724117875314
7;"Carcharodus baeticus";2020;7;"CBMS";81;5;0.18608100684153;0.1069;-2.43395575557381;2.8724117875314
7;"Carcharodus baeticus";2022;7;"CBMS";108;4;0.111789224985576;0.1069;-2.43395575557381;2.8724117875314
7;"Pieris mannii";2020;7;"CBMS";81;4;0.254214724045358;0.1069;-2.43395575557381;2.8724117875314
7;"Fabriciana adippe";2021;7;"CBMS";94;3;0.126232667547835;0.1069;-2.43395575557381;2.8724117875314
7;"Melitaea trivia";2023;7;"CBMS";109;6;0.0767851054569951;0.1069;-2.43395575557381;2.8724117875314
7;"Hamearis lucina";2021;7;"CBMS";93;3;0.0713045588966485;0.1069;-2.43395575557381;2.8724117875314
7;"Pyrgus onopordi";2018;7;"CBMS";NA;NA;NA;0.1069;-2.43395575557381;2.8724117875314
7;"Pieris ergane";2020;7;"CBMS";81;2;0.102170713724506;0.1069;-2.43395575557381;2.8724117875314
7;"Limenitis sp.";2020;7;"CBMS";81;4;0.422526275372981;0.1069;-2.43395575557381;2.8724117875314
7;"Laeosopis roboris";2021;7;"CBMS";94;3;0.0640154611678364;0.1069;-2.43395575557381;2.8724117875314
7;"Pieris mannii";2018;7;"CBMS";66;2;0.0998227760691125;0.1069;-2.43395575557381;2.8724117875314
7;"Argynnis pandora";2019;7;"CBMS";77;5;0.48919822644285;0.1069;-2.43395575557381;2.8724117875314
8;"Melanargia ines";2022;8;"CBMS";NA;NA;NA;0.1222;-2.41864935901867;2.88765368321651
8;"Satyrus actaea";2018;8;"CBMS";65;2;0.0706412504809585;0.1222;-2.41864935901867;2.88765368321651
8;"Polyommatus daphnis";2020;8;"CBMS";NA;NA;NA;0.1222;-2.41864935901867;2.88765368321651
8;"Thymelicus sp.";2020;8;"CBMS";81;4;0.0838925981998075;0.1222;-2.41864935901867;2.88765368321651
8;"Speyeria aglaja";2019;8;"CBMS";78;2;0.0845712157256664;0.1222;-2.41864935901867;2.88765368321651
8;"Melanargia occitanica";2020;8;"CBMS";72;2;0.679070798864829;0.1222;-2.41864935901867;2.88765368321651
8;"Satyrium acaciae";2023;8;"CBMS";109;3;0.0915137491705692;0.1222;-2.41864935901867;2.88765368321651
8;"Callophrys avis";2020;8;"CBMS";69;3;0.182081314593438;0.1222;-2.41864935901867;2.88765368321651
8;"Satyrium w-album";2019;8;"CBMS";78;4;0.0928690384206259;0.1222;-2.41864935901867;2.88765368321651
8;"Hipparchia hermione";2019;8;"CBMS";78;4;0.0943116226352545;0.1222;-2.41864935901867;2.88765368321651
8;"Thymelicus lineola";2021;8;"CBMS";95;4;0.0653489450177178;0.1222;-2.41864935901867;2.88765368321651
8;"Speyeria aglaja";2021;8;"CBMS";94;2;0.097202998563063;0.1222;-2.41864935901867;2.88765368321651
9;"Cupido minimus";2023;9;"CBMS";109;5;0.0706548188250413;0.1375;-2.40334325974832;2.90289587618641
9;"Thymelicus sp.";2018;9;"CBMS";66;4;0.189367916028179;0.1375;-2.40334325974832;2.90289587618641
9;"Pieris mannii";2021;9;"CBMS";95;3;0.070577355478202;0.1375;-2.40334325974832;2.90289587618641
9;"Brenthis daphne";2018;9;"CBMS";66;4;0.0900033729027434;0.1375;-2.40334325974832;2.90289587618641
9;"Fabriciana adippe";2022;9;"CBMS";108;4;0.0640188042981486;0.1375;-2.40334325974832;2.90289587618641
9;"Carcharodus baeticus";2023;9;"CBMS";109;4;0.138541897444414;0.1375;-2.40334325974832;2.90289587618641
9;"Argynnis sp.";2018;9;"CBMS";66;2;0.305202211594819;0.1375;-2.40334325974832;2.90289587618641
9;"Laeosopis roboris";2022;9;"CBMS";108;3;0.0832075203758313;0.1375;-2.40334325974832;2.90289587618641
9;"Aphantopus hyperantus";2020;9;"CBMS";NA;NA;NA;0.1375;-2.40334325974832;2.90289587618641
10;"Argynnis sp.";2022;10;"CBMS";108;3;0.109233306937427;0.1527;-2.3880374577735;2.91813836645185
10;"Gegenes pumilio";2023;10;"CBMS";NA;NA;NA;0.1527;-2.3880374577735;2.91813836645185
10;"Polyommatus fulgens";2020;10;"CBMS";81;2;0.0939359853842911;0.1527;-2.3880374577735;2.91813836645185
10;"Scolitantides orion";2023;10;"CBMS";NA;NA;NA;0.1527;-2.3880374577735;2.91813836645185
10;"Lasiommata maera";2018;10;"CBMS";67;4;0.198721129461704;0.1527;-2.3880374577735;2.91813836645185
10;"Euphydryas desfontainii";2019;10;"CBMS";78;3;0.139936736170583;0.1527;-2.3880374577735;2.91813836645185
10;"Thymelicus sp.";2022;10;"CBMS";108;5;0.123068826267423;0.1527;-2.3880374577735;2.91813836645185
10;"Nymphalis antiopa";2022;10;"CBMS";108;5;0.0905153577352513;0.1527;-2.3880374577735;2.91813836645185
10;"Lasiommata maera";2019;10;"CBMS";78;2;0.140470319369104;0.1527;-2.3880374577735;2.91813836645185
10;"Pieris sp.";2018;10;"CBMS";67;2;0.873800916418463;0.1527;-2.3880374577735;2.91813836645185
10;"Nymphalis antiopa";2023;10;"CBMS";110;4;0.105945347137567;0.1527;-2.3880374577735;2.91813836645185
10;"Araschnia levana";2020;10;"CBMS";81;2;0.114904267854863;0.1527;-2.3880374577735;2.91813836645185
11;"Euphydryas desfontainii";2022;11;"CBMS";108;2;0.0893665582144832;0.168;-2.37273195310486;2.93338115402346
11;"Thymelicus sp.";2023;11;"CBMS";109;3;0.133073993162619;0.168;-2.37273195310486;2.93338115402346
11;"Melitaea sp.";2021;11;"CBMS";95;7;1.41301403571807;0.168;-2.37273195310486;2.93338115402346
11;"Aphantopus hyperantus";2019;11;"CBMS";NA;NA;NA;0.168;-2.37273195310486;2.93338115402346
11;"Aphantopus hyperantus";2018;11;"CBMS";NA;NA;NA;0.168;-2.37273195310486;2.93338115402346
11;"Thymelicus lineola";2018;11;"CBMS";66;3;0.0899094695848489;0.168;-2.37273195310486;2.93338115402346
11;"Melitaea sp.";2020;11;"CBMS";81;9;1.42500669384055;0.168;-2.37273195310486;2.93338115402346
12;"Carcharodus lavatherae";2023;12;"CBMS";110;4;0.129944655178419;0.1833;-2.35742674575293;2.94862423891179
12;"Lasiommata maera";2023;12;"CBMS";108;4;0.245756796050327;0.1833;-2.35742674575293;2.94862423891179
12;"Carcharodus floccifera";2023;12;"CBMS";110;2;0.14883037100745;0.1833;-2.35742674575293;2.94862423891179
13;"Satyrus actaea";2022;13;"CBMS";108;1;0.268817995720776;0.1986;-2.34212183572816;2.96386762112727
13;"Polyommatus nivescens";2022;13;"CBMS";108;1;0.145337093485055;0.1986;-2.34212183572816;2.96386762112727
13;"Arethusana arethusa";2018;13;"CBMS";66;1;0.241299857176061;0.1986;-2.34212183572816;2.96386762112727
13;"Limenitis sp.";2019;13;"CBMS";78;4;0.705287712536202;0.1986;-2.34212183572816;2.96386762112727
13;"Callophrys avis";2019;13;"CBMS";78;5;0.175038622782212;0.1986;-2.34212183572816;2.96386762112727
13;"Brenthis hecate";2020;13;"CBMS";NA;NA;NA;0.1986;-2.34212183572816;2.96386762112727
13;"Argynnis pandora";2021;13;"CBMS";93;2;0.461843378768425;0.1986;-2.34212183572816;2.96386762112727
13;"Hipparchia hermione";2021;13;"CBMS";94;3;0.226762403636751;0.1986;-2.34212183572816;2.96386762112727
14;"Hesperia comma";2023;14;"CBMS";108;6;0.251016219726878;0.2138;-2.3268172230409;2.97911130068027
14;"Thymelicus lineola";2020;14;"CBMS";81;2;0.119142848143453;0.2138;-2.3268172230409;2.97911130068027
14;"Danaus plexippus";2022;14;"CBMS";81;3;0.503001706967998;0.2138;-2.3268172230409;2.97911130068027
14;"Hamearis lucina";2022;14;"CBMS";108;2;0.109947839084689;0.2138;-2.3268172230409;2.97911130068027
14;"Lasiommata maera";2022;14;"CBMS";108;3;0.143977875302155;0.2138;-2.3268172230409;2.97911130068027
15;"Cupido alcetas";2023;15;"CBMS";108;3;0.123078631464733;0.2291;-2.31151290770139;2.994355277581
15;"Erebia neoridas";2018;15;"CBMS";NA;NA;NA;0.2291;-2.31151290770139;2.994355277581
15;"Satyrus actaea";2019;15;"CBMS";78;4;0.156690920001185;0.2291;-2.31151290770139;2.994355277581
15;"Melitaea parthenoides";2021;15;"CBMS";95;4;0.893069707538483;0.2291;-2.31151290770139;2.994355277581
15;"Limenitis sp.";2018;15;"CBMS";66;3;1.60610343599849;0.2291;-2.31151290770139;2.994355277581
15;"Tomares ballus";2022;15;"CBMS";105;10;0.179306484571699;0.2291;-2.31151290770139;2.994355277581
15;"Satyrium w-album";2021;15;"CBMS";94;5;0.150900394855938;0.2291;-2.31151290770139;2.994355277581
16;"Aphantopus hyperantus";2021;16;"CBMS";NA;NA;NA;0.2444;-2.29620888971976;3.00959955183964
16;"Limenitis sp.";2023;16;"CBMS";109;4;0.688419608213846;0.2444;-2.29620888971976;3.00959955183964
16;"Hamearis lucina";2023;16;"CBMS";110;2;0.19454835630596;0.2444;-2.29620888971976;3.00959955183964
16;"Hipparchia sp.";2021;16;"CBMS";93;6;0.289680662250956;0.2444;-2.29620888971976;3.00959955183964
16;"Arethusana arethusa";2023;16;"CBMS";108;2;0.278275686241223;0.2444;-2.29620888971976;3.00959955183964
16;"Aphantopus hyperantus";2023;16;"CBMS";NA;NA;NA;0.2444;-2.29620888971976;3.00959955183964
16;"Araschnia levana";2019;16;"CBMS";78;4;0.194242439714635;0.2444;-2.29620888971976;3.00959955183964
16;"Melitaea sp.";2018;16;"CBMS";66;4;2.57548191704355;0.2444;-2.29620888971976;3.00959955183964
16;"Polyommatus fulgens";2019;16;"CBMS";78;2;0.191575817370234;0.2444;-2.29620888971976;3.00959955183964
17;"Brenthis hecate";2021;17;"CBMS";NA;NA;NA;0.2597;-2.28090516910608;3.02484412346621
17;"Pieridae";2018;17;"CBMS";67;7;1.02598703104426;0.2597;-2.28090516910608;3.02484412346621
17;"Satyrium w-album";2018;17;"CBMS";66;6;0.173296297575789;0.2597;-2.28090516910608;3.02484412346621
18;"Carcharodus lavatherae";2018;18;"CBMS";67;6;0.486178136054555;0.2749;-2.26560174587027;3.04008899247066
18;"Aglais urticae";2019;18;"CBMS";78;5;0.184198840661837;0.2749;-2.26560174587027;3.04008899247066
18;"Carcharodus lavatherae";2019;18;"CBMS";78;6;0.213217288580797;0.2749;-2.26560174587027;3.04008899247066
18;"Hamearis lucina";2019;18;"CBMS";78;2;0.168646304233836;0.2749;-2.26560174587027;3.04008899247066
18;"Brenthis hecate";2019;18;"CBMS";NA;NA;NA;0.2749;-2.26560174587027;3.04008899247066
19;"Danaus plexippus";2023;20;"CBMS";110;6;0.210274911409874;0.2902;-2.2502986200222;3.05533415886284
19;"Arethusana arethusa";2019;19;"CBMS";78;2;0.203526373699732;0.2902;-2.2502986200222;3.05533415886284
19;"Melitaea parthenoides";2019;19;"CBMS";78;4;1.30217299818255;0.2902;-2.2502986200222;3.05533415886284
19;"Cupido minimus";2019;19;"CBMS";78;5;0.175502064222701;0.2902;-2.2502986200222;3.05533415886284
20;"Argynnis sp.";2023;20;"CBMS";109;5;0.395813460614762;0.3055;-2.23499579157159;3.07057962265249
20;"Euphydryas desfontainii";2021;20;"CBMS";94;1;0.154992967303184;0.3055;-2.23499579157159;3.07057962265249
21;"Tomares ballus";2021;21;"CBMS";94;12;0.383825953059303;0.3208;-2.21969326052811;3.08582538384926
21;"Satyrus actaea";2021;21;"CBMS";93;2;0.428773642750004;0.3208;-2.21969326052811;3.08582538384926
21;"Carcharodus lavatherae";2022;21;"CBMS";108;10;0.218477442355867;0.3208;-2.21969326052811;3.08582538384926
21;"Tomares ballus";2023;21;"CBMS";110;14;0.211908622299732;0.3208;-2.21969326052811;3.08582538384926
21.5;"Melanargia occitanica";2019;21.5;"CBMS";78;3;0.229381014947331;NA;NA;NA
22;"Carcharodus lavatherae";2020;22;"CBMS";81;8;0.298121227080592;0.336;-2.2043910269013;3.1010714424627
22;"Laeosopis roboris";2019;22;"CBMS";78;5;0.185044360513709;0.336;-2.2043910269013;3.1010714424627
22;"Brenthis hecate";2022;22;"CBMS";NA;NA;NA;0.336;-2.2043910269013;3.1010714424627
