"SPECIES";"genus";"Family";"sp.id";"TAO";"SSI";"WI";"HSI";"FMo_Average";"STI";"SVTI";"OS_ordinal";"Max.Voltinism";"Morphosp"
"Leptidea reali";"Leptidea";"Pieridae";"pielre";0,355942921;2,431009718;0;1;6;9,81;3,92;3,5;3;""
"Leptidea sinapis";"Leptidea";"Pieridae";"pielsi";0,112696035;0,744408204;0;0,14;6;9,768;3,92;3,5;3;""
"Leptidea sp.";"Leptidea";"Pieridae";"pielsp";0,234319478;1,587708961;0;0,57;6;9,789;3,92;3,5;3;"Leptidea"
"Leptotes pirithous";"Leptotes";"Lycaenidae";"lyclpi";0,612722945;0,923781988;-0,05;0,05;8;12,82;3,37;3;3;""
"Libythea celtis";"Libythea";"Libytheidae";"liblce";0,352709843;1,015825212;0,01;0,71;6,5;12,19;2,91;4,5;1;""
"Limenitis camilla";"Limenitis";"Nymphalidae";"nymlca";-0,059087325;1,016895379;0,06;0,29;3;8,85;2,26;2;1;""
"Limenitis reducta";"Limenitis";"Nymphalidae";"nymlre";0,226760205;0,645608678;0,04;0,58;5;11,07;3,26;2;3;""
"Limenitis sp.";"Limenitis";"Nymphalidae";"nymlsp";0,08383644;0,8312520285;0,05;0,435;3;9,96;2,76;2;1;"Limenitis"
"Lycaena alciphron";"Lycaena";"Lycaenidae";"lyclal";0,642504871;2,654171714;-0,02;0,58;4;9,53;2,97;2;1;""
"Lycaena phlaeas";"Lycaena";"Lycaenidae";"lyclph";0,64189517;0,61125112;-0,05;0,33;9,5;9,29;3,94;2;3;""
"Lycaenidae";"SP.Lycaenidae";"Lycaenidae";"LYC";0,574828782;1,535636129;-0,0366666666666667;0,367727272727273;4;10,9140227272727;2,93368421052632;2;1;"Lycaenidae"
"Lysandra bellargus";"Lysandra";"Lycaenidae";"lycpbe";0,753447834;1,08174277;-0,03;0,18;7;10,19;2,93368421052632;2;3;"Lycaenidae"
"Lysandra coridon";"Lysandra";"Lycaenidae";"lycpco";0,705826823;1,62586818;-0,03;1;3;9,399;2,93368421052632;1;2;"Lycaenidae"
"Lysandra hispana";"Lysandra";"Lycaenidae";"lycphi";0,594596185;1,143975952;-0,02;1;7;12,02;2,93368421052632;1;2;"Lycaenidae"
"Lysandra sp.";"Lysandra";"Lycaenidae";"lyclsp";0,684623614;1,28386230066667;-0,0266666666666667;0,726666666666667;7;10,5363333333333;2,93368421052632;1;2;"Lysandra"
"Maniola jurtina";"Maniola";"Satyrinae";"satmju";0,407550491;0,842910187;0,02;0,29;5;9,85;3,29;2;1;""
"Melanargia ines";"Melanargia";"Satyrinae";"satmin";0,677946396;1,270025397;0,03;0,5;4;15,19;2,09;2;1;"Melanargia"
"Melanargia lachesis";"Melanargia";"Satyrinae";"satmla";0,605550469;0,909626304;0,04;0,14;2,5;13,09;2,25;2;1;""
"Melanargia occitanica";"Melanargia";"Satyrinae";"satmoc";0,750342323;1,63042449;0,04;0,15;2,5;13,79;2,26;2;1;""
"Melanargia sp.";"Melanargia";"Satyrinae";"satsp2";0,677946396;1,270025397;0,0366666666666667;0,263333333333333;2,5;14,0233333333333;2,2;2;1;"Melanargia"
"Melitaea celadussa";"Melitaea";"Nymphalidae";"nymmat";0,604951348;1,68452385;-0,01;0,1;3;10,3028571428571;3,03;2;2;"Melitaea"
"Melitaea cinxia";"Melitaea";"Nymphalidae";"nymmci";0,72729009;0,997057902;0;0,29;4;9,6;2,89;2;2;""
"Melitaea deione";"Melitaea";"Nymphalidae";"nymmde";0,618200598;1,065025071;0;0,12;4,5;11,58;3,96;2;2;""
"Melitaea diamina";"Melitaea";"Nymphalidae";"nymmda";0,755962285;2,040790063;-0,01;0,13;3,5;8,03;2,7;2;2;""
"Melitaea didyma";"Melitaea";"Nymphalidae";"nymmdi";0,796228806;0,865896988;0;0,05;5,5;10,42;3,1;2;3;""
"Melitaea parthenoides";"Melitaea";"Nymphalidae";"nymmpa";0,646032518;1,688968542;-0,02;0,11;3;10,61;2,66;2;2;""
"Melitaea phoebe";"Melitaea";"Nymphalidae";"nymmph";0,758007172;0,78439434;0,01;0,15;4,5;10,91;3,19;2;2;""
"Melitaea sp.";"Melitaea";"Nymphalidae";"nymmsp";0,713360359625;1,29997073225;-0,00625;0,175;3;10,3028571428571;3,03;2;2;"Melitaea"
"Melitaea trivia";"Melitaea";"Nymphalidae";"nymmtr";0,80021006;1,273109102;-0,02;0,45;5;10,97;2,71;2;3;""
"Muschampia proto";"Muschampia";"Hesperiidae";"hesmpr";0,656015365;1,538404664;-0,03;0,58;4;14,16;3,00866666666667;1;1;""
"Nymphalidae";"SP.Nymphalidae";"Nymphalidae";"NYM";0,5105415025;1,33275070802941;0,0391176470588235;0,340588235294118;3,5;10,07234375;2,88862068965517;2;3;"Nymphalidae"
"Nymphalis antiopa";"Nymphalis";"Nymphalidae";"nymnan";0,244952587;0,98014989;0,11;0,19;5,5;7,61;3,69;4,5;1;""
"Nymphalis polychloros";"Nymphalis";"Nymphalidae";"nymnpo";0,225486431;0,82894913;0,07;0,14;6,5;9,68;3;4,5;1;""
"Ochlodes sylvanus";"Ochlodes";"Hesperiidae";"hesove";0,365977471;0,874523135;-0,04;0,08;4;8,58;3,31;2;2;""
"Papilio machaon";"Papilio";"Papilionidae";"pappma";0,632013003;0,632486452;0,12;0,05;6,5;9,28;4,08;3,5;3;""
"Pararge aegeria";"Pararge";"Satyrinae";"satpae";-0,273669812;0,900357331;0,01;0,15;7;9,71;3,44;3;3;""
"Phengaris arion";"Phengaris";"Lycaenidae";"lycmar";0,607417569;2,171558784;-0,01;0,5;4;8,64;2,71;2;1;""
"Pieridae";"Pieridae";"Pieridae";"PIE";0,408208793866667;0,9157186412;0,024375;0,268125;7,5;10,61;3,38266666666667;3,5;3;"Pieridae"
"Pieris brassicae";"Pieris";"Pieridae";"piepbr";0,371151875;0,593677222;0,07;0,12;7;9,29;3,83;3,5;3;""
"Pieris ergane";"Pieris";"Pieridae";"pieper";0,308883757;0,79465034775;0,01;0,41;7,5;11,69;2,82;3,5;3;""
"Pieris mannii";"Pieris";"Pieridae";"piepma";0,297031447;1,212308193;0,02;0,41;7,5;11,46;3,13;3,5;3;""
"Pieris napi";"Pieris";"Pieridae";"piepna";0,146268694;0,676420905;0,01;0,11;5,5;8,21;4;3,5;3;""
"Pieris rapae";"Pieris";"Pieridae";"piepra";0,421083012;0,696195071;0,02;0,12;9,5;9,63;3,67;3,5;3;""
"Pieris sp.";"Pieris";"Pieridae";"piepsp";0,308883757;0,79465034775;0,026;0,234;7,5;10,056;3,49;3,5;3;"Pieris"
"Plebejus argus";"Plebejus";"Lycaenidae";"lycpar";0,74782007;1,724162384;-0,05;0,07;4;8,61;3,48;1;2;""
"Polygonia c-album";"Polygonia";"Nymphalidae";"nympca";0,123026302;0,626088908;0,03;0,05;6;8,6;2,88862068965517;4,5;3;""
"Polyommatus amandus";"Polyommatus";"Lycaenidae";"lycpam";0,732958556;1,755105313;-0,02;0,2;3;10,856;3,35;2;2;"Polyommatus"
"Polyommatus celina";"Polyommatus";"Lycaenidae";"lycpce";0,779240003;2,578826731;-0,04;1;11;16,064;2,841;2;3;""
"Polyommatus damon";"Polyommatus";"Lycaenidae";"lycada";0,555555556;3,036589881;-0,03;0,45;2;8,66;2,87;1,5;1;""
"Polyommatus daphnis";"Polyommatus";"Lycaenidae";"lycpda";0,745876201;1,806757118;-0,02;0,13;3;9,58;2,88;1;1;""
"Polyommatus dorylas";"Polyommatus";"Lycaenidae";"lycpdo";0,844629939;2,452442604;-0,03;0,2;4;9,32;3;2;2;""
"Polyommatus escheri";"Polyommatus";"Lycaenidae";"lycpes";0,65003578;1,202134679;-0,03;0,5;3;10,87;3,38;2;1;""
"Polyommatus fulgens";"Polyommatus";"Lycaenidae";"lycpfu";0,750322823;1,884049215;-0,03;1;2;11,1;0,93;2;1;""
"Polyommatus icarus";"Polyommatus";"Lycaenidae";"lycpic";0,697580951;1,007960317;-0,04;0,14;7;8,676;4,11;2;3;""
"Polyommatus nivescens";"Polyommatus";"Lycaenidae";"lycpni";0,6944379625;1,8148717389;-0,03;1;4;12,74;2,37;2;1;"Polyommatus"
"Polyommatus ripartii";"Polyommatus";"Lycaenidae";"lycpri";0,537519733;1,327316821;-0,03;0,45;4;10,96;2,53;2;1;""
"Polyommatus thersites";"Polyommatus";"Lycaenidae";"lycpth";0,650660083;1,09753471;-0,04;0,5;7;10,59;2,99;2;3;""
"Pontia daplidice";"Pontia";"Pieridae";"piepda";0,653904848;0,866400607;0,01;0,06;5,5;13,342;3,55;3,5;3;""
"Pseudophilotes baton";"Pseudophilotes";"Lycaenidae";"lycpba";1;3,11852727;-0,06;0,12;5;10,68;2,93368421052632;3;2;"Lycaenidae"
"Pseudophilotes panoptes";"Pseudophilotes";"Lycaenidae";"lycppa";0,689406709;1,481147826;-0,07;0,5;6;13,97;2,93368421052632;3,5;2;"Lycaenidae"
"Pyrgus armoricanus";"Pyrgus";"Hesperiidae";"hespar";0,767803252;1,317614293;-0,05;0,18;5,5;11,2243333333333;2,97;2;2;"Pyrgus"
"Pyrgus cirsii";"Pyrgus";"Hesperiidae";"hespci";0,869896752;2,426905872;-0,05;0,41;3;10,26;2,27;1,5;1;""
"Pyrgus malvoides";"Pyrgus";"Hesperiidae";"hespma";0,741904921;0,761300558;-0,06;0,39;3,5;11,803;2,99;3,5;2;""
"Pyrgus onopordi";"Pyrgus";"Hesperiidae";"hespon";0,793201641666667;1,501940241;-0,05;0,58;7;11,61;3,73;2;3;"Pyrgus"
"Pyrgus sp.";"Pyrgus";"Hesperiidae";"hespsp";0,793201641666667;1,501940241;-0,0525;0,39;3;11,2243333333333;2,99;2;2;"Pyrgus"
"Pyronia bathseba";"Pyronia";"Satyrinae";"satpba";0,181128835;0,819766249;0;0,35;4,5;13,54;2,84;2;1;""
"Pyronia cecilia";"Pyronia";"Satyrinae";"satpce";0,642165283;0,846306941;-0,02;0,18;3,5;14,06;2,48;2;1;""
"Pyronia sp.";"Pyronia";"Satyrinae";"satsp";0,402766679666667;0,893490908333333;-0,01;0,203333333333333;3,5;12,82;2,65333333333333;2;1;"Pyronia"
"Pyronia tithonus";"Pyronia";"Satyrinae";"satpti";0,385005921;1,014399535;-0,01;0,08;3,5;10,86;2,64;2;1;""
"Satyridae";"Satyridae";"Satyrinae";"SAT";0,48982891948;1,30900930608;0,0219230769230769;0,209230769230769;3,5;11,0432;2,79076923076923;2;1;"Satyrinae"
"Satyrium acaciae";"Satyrium";"Lycaenidae";"lycsac";0,626523017;1,221447818;-0,04;1;3;10,21;2,67;1;1;""
"Satyrium esculi";"Satyrium";"Lycaenidae";"lycses";0,427808571;0,913519641;-0,03;0,71;4;13,33;2,95;1;1;""
"Satyrium ilicis";"Satyrium";"Lycaenidae";"lycsil";0,317980955;1,448608844;-0,02;0,11;4;10,21;2,91;1;1;""
"Satyrium spini";"Satyrium";"Lycaenidae";"lycssp";0,600074725;1,188101191;-0,03;0,17;3,5;10,22;3,21;1;1;""
